Order,Timestamp,AngleHeading,AnglePitch,AngleRoll,PosLat, PosLon,PosAlt,VelNorth,VelEast,VelDown,Speed2D
232.0,2021-09-08-18h08m58s573986us,63.66,-0.63,0.77,30.4977069,114.5201917,44.349,0.43,0.95,0.01,1.04
233.0,2021-09-08-18h08m58s674716us,63.54,-0.65,0.77,30.4977073,114.5201927,44.348,0.43,0.97,0.02,1.06
234.0,2021-09-08-18h08m58s775449us,63.42,-0.65,0.79,30.4977077,114.5201937,44.347,0.44,0.98,0.02,1.08
235.0,2021-09-08-18h08m58s876178us,63.29,-0.67,0.84,30.4977081,114.5201947,44.345,0.45,1.0,0.02,1.09
237.0,2021-09-08-18h08m59s077639us,63.03,-0.7,0.89,30.497709,114.5201968,44.342,0.47,1.02,0.02,1.13
238.0,2021-09-08-18h08m59s178372us,62.9,-0.69,0.88,30.4977094,114.5201979,44.34,0.49,1.03,0.02,1.14
239.0,2021-09-08-18h08m59s279102us,62.76,-0.67,0.87,30.4977099,114.520199,44.338,0.49,1.05,0.02,1.16
240.0,2021-09-08-18h08m59s379833us,62.62,-0.68,0.86,30.4977104,114.5202002,44.336,0.5,1.06,0.02,1.17
241.0,2021-09-08-18h08m59s480562us,62.48,-0.68,0.86,30.4977109,114.5202013,44.333,0.51,1.07,0.02,1.19
242.0,2021-09-08-18h08m59s581293us,62.35,-0.69,0.86,30.4977113,114.5202024,44.33,0.52,1.08,0.02,1.2
243.0,2021-09-08-18h08m59s682025us,62.23,-0.69,0.86,30.4977118,114.5202036,44.327,0.52,1.09,0.02,1.21
244.0,2021-09-08-18h08m59s782753us,62.13,-0.67,0.85,30.4977123,114.5202047,44.322,0.53,1.1,0.02,1.22
245.0,2021-09-08-18h08m59s883485us,62.05,-0.66,0.84,30.4977128,114.5202058,44.319,0.53,1.11,0.02,1.23
246.0,2021-09-08-18h08m59s984216us,61.96,-0.67,0.87,30.4977133,114.520207,44.316,0.53,1.12,0.02,1.23
247.0,2021-09-08-18h09m00s084945us,61.88,-0.68,0.9,30.4977137,114.5202082,44.313,0.53,1.12,0.02,1.24
248.0,2021-09-08-18h09m00s185677us,61.84,-0.69,0.93,30.4977142,114.5202093,44.31,0.54,1.13,0.02,1.25
249.0,2021-09-08-18h09m00s286407us,61.81,-0.69,0.93,30.4977147,114.5202105,44.307,0.54,1.13,0.02,1.26
250.0,2021-09-08-18h09m00s387139us,61.77,-0.68,0.91,30.4977152,114.5202117,44.304,0.55,1.15,0.02,1.27
251.0,2021-09-08-18h09m00s487870us,61.75,-0.67,0.88,30.4977157,114.5202129,44.301,0.56,1.18,0.02,1.3
252.0,2021-09-08-18h09m00s588599us,61.76,-0.65,0.83,30.4977162,114.5202142,44.299,0.57,1.21,0.02,1.34
257.0,2021-09-08-18h09m01s092253us,61.79,-0.56,0.88,30.4977191,114.520221,44.285,0.63,1.37,0.03,1.51
258.0,2021-09-08-18h09m01s192983us,61.81,-0.57,0.9,30.4977196,114.5202225,44.282,0.65,1.39,0.02,1.53
259.0,2021-09-08-18h09m01s293713us,61.82,-0.56,0.92,30.4977202,114.5202239,44.28,0.66,1.41,0.02,1.56
260.0,2021-09-08-18h09m01s394471us,61.83,-0.56,0.91,30.4977208,114.5202254,44.278,0.67,1.44,0.02,1.58
261.0,2021-09-08-18h09m01s495175us,61.87,-0.56,0.9,30.4977215,114.5202269,44.276,0.68,1.46,0.03,1.61
262.0,2021-09-08-18h09m01s595905us,61.92,-0.56,0.9,30.4977221,114.5202285,44.273,0.69,1.48,0.03,1.63
263.0,2021-09-08-18h09m01s696637us,61.95,-0.57,0.9,30.4977227,114.52023,44.27,0.7,1.5,0.02,1.66
264.0,2021-09-08-18h09m01s797367us,61.98,-0.56,0.92,30.4977233,114.5202316,44.267,0.7,1.52,0.03,1.68
265.0,2021-09-08-18h09m01s898098us,62.02,-0.55,0.92,30.497724,114.5202332,44.263,0.71,1.55,0.03,1.7
